league,league_name,country,tier,calendar,season,season_rel,period,matches_total,matches_excluded,matches,goals,normal_time_goals,stoppage_goals_1h,stoppage_goals_2h,late_equaliser_draws
algir1,Ligue 1,Algeria,1,winter,2020-2021,-3,pre,380,42,338,892,838,17,37,5
algir1,Ligue 1,Algeria,1,winter,2021-2022,-2,pre,306,43,263,693,637,18,38,8
algir1,Ligue 1,Algeria,1,winter,2022-2023,-1,pre,240,33,207,511,474,8,29,6
algir1,Ligue 1,Algeria,1,winter,2023-2024,0,post,240,29,211,553,491,24,38,9
algir1,Ligue 1,Algeria,1,winter,2024-2025,1,post,240,42,198,467,395,21,51,10
algir1,Ligue 1,Algeria,1,winter,2025-2026,2,post,240,20,220,544,486,19,39,8
australia,A-League,Australia,1,winter,2020-2021,-3,pre,156,9,147,457,426,14,17,3
australia,A-League,Australia,1,winter,2021-2022,-2,pre,156,8,148,451,407,12,32,6
australia,A-League,Australia,1,winter,2022-2023,-1,pre,156,4,152,477,430,11,36,11
australia,A-League,Australia,1,winter,2023-2024,0,post,162,7,155,540,471,20,49,13
australia,A-League,Australia,1,winter,2024-2025,1,post,169,8,161,556,503,15,38,8
australia,A-League,Australia,1,winter,2025-2026,2,post,163,11,152,456,406,16,34,4
austria1,Bundesliga,Austria,1,winter,2020-2021,-3,pre,132,8,124,415,385,2,28,3
austria1,Bundesliga,Austria,1,winter,2021-2022,-2,pre,132,5,127,380,341,12,27,6
austria1,Bundesliga,Austria,1,winter,2022-2023,-1,pre,132,7,125,386,343,9,34,3
austria1,Bundesliga,Austria,1,winter,2023-2024,0,post,132,12,120,334,301,7,26,6
austria1,Bundesliga,Austria,1,winter,2024-2025,1,post,132,10,122,371,337,5,29,4
austria1,Bundesliga,Austria,1,winter,2025-2026,2,post,195,12,183,527,468,16,43,8
austria2,2. Liga,Austria,2,winter,2020-2021,-3,pre,240,14,226,736,686,7,43,8
austria2,2. Liga,Austria,2,winter,2021-2022,-2,pre,240,14,226,732,686,10,36,6
austria2,2. Liga,Austria,2,winter,2022-2023,-1,pre,240,15,225,689,624,15,50,8
austria2,2. Liga,Austria,2,winter,2023-2024,0,post,240,12,228,716,659,13,44,7
austria2,2. Liga,Austria,2,winter,2024-2025,1,post,240,18,222,704,650,12,42,5
austria2,2. Liga,Austria,2,winter,2025-2026,2,post,237,33,204,596,553,12,31,6
azer,Premier League,Azerbaijan,1,winter,2020-2021,-3,pre,112,14,98,266,237,7,22,6
azer,Premier League,Azerbaijan,1,winter,2021-2022,-2,pre,112,8,104,291,257,8,26,3
azer,Premier League,Azerbaijan,1,winter,2022-2023,-1,pre,180,15,165,475,437,11,27,2
azer,Premier League,Azerbaijan,1,winter,2023-2024,0,post,180,11,169,471,425,11,35,6
azer,Premier League,Azerbaijan,1,winter,2024-2025,1,post,180,15,165,432,389,11,32,5
azer,Premier League,Azerbaijan,1,winter,2025-2026,2,post,200,19,181,512,458,17,37,9
belgium1,Jupiler Pro League,Belgium,1,winter,2020-2021,-3,pre,306,14,292,914,847,12,55,16
belgium1,Jupiler Pro League,Belgium,1,winter,2021-2022,-2,pre,306,15,291,887,830,15,42,11
belgium1,Jupiler Pro League,Belgium,1,winter,2022-2023,-1,pre,306,18,288,914,838,24,52,9
belgium1,Jupiler Pro League,Belgium,1,winter,2023-2024,0,post,240,12,228,672,589,24,59,15
belgium1,Jupiler Pro League,Belgium,1,winter,2024-2025,1,post,240,23,217,640,563,22,55,11
belgium1,Jupiler Pro League,Belgium,1,winter,2025-2026,2,post,321,27,294,856,759,30,67,13
brazil1,Serie A Betano,Brazil,1,summer,2020,-3,pre,380,32,348,944,831,32,81,22
brazil1,Serie A Betano,Brazil,1,summer,2021,-2,pre,380,44,336,842,735,37,70,15
brazil1,Serie A Betano,Brazil,1,summer,2022,-1,pre,380,26,354,905,793,41,71,12
brazil1,Serie A Betano,Brazil,1,summer,2023,0,post,375,30,345,930,800,49,81,13
brazil1,Serie A Betano,Brazil,1,summer,2024,1,post,380,26,354,929,809,44,76,15
brazil1,Serie A Betano,Brazil,1,summer,2025,2,post,380,27,353,959,846,41,72,16
brazil2,Serie B Superbet,Brazil,2,summer,2020,-3,pre,380,43,337,824,746,24,54,13
brazil2,Serie B Superbet,Brazil,2,summer,2021,-2,pre,380,47,333,826,746,28,52,12
brazil2,Serie B Superbet,Brazil,2,summer,2022,-1,pre,380,49,331,766,680,30,56,18
brazil2,Serie B Superbet,Brazil,2,summer,2023,0,post,380,44,336,796,659,46,91,23
brazil2,Serie B Superbet,Brazil,2,summer,2024,1,post,373,37,336,815,712,35,68,10
brazil2,Serie B Superbet,Brazil,2,summer,2025,2,post,380,33,347,843,730,39,74,18
bulgaria1,Parva liga,Bulgaria,1,winter,2020-2021,-3,pre,182,22,160,439,404,12,23,8
bulgaria1,Parva liga,Bulgaria,1,winter,2021-2022,-2,pre,182,19,163,445,405,11,29,4
bulgaria1,Parva liga,Bulgaria,1,winter,2022-2023,-1,pre,240,26,214,554,497,24,33,5
bulgaria1,Parva liga,Bulgaria,1,winter,2023-2024,0,post,240,22,218,582,527,16,39,7
bulgaria1,Parva liga,Bulgaria,1,winter,2024-2025,1,post,240,17,223,584,525,23,36,9
bulgaria1,Parva liga,Bulgaria,1,winter,2025-2026,2,post,294,38,256,672,596,25,51,8
cha,Championship,England,2,winter,2020-2021,-3,pre,552,53,499,1274,1184,32,58,11
cha,Championship,England,2,winter,2021-2022,-2,pre,552,45,507,1382,1257,34,91,27
cha,Championship,England,2,winter,2022-2023,-1,pre,552,48,504,1342,1232,36,74,18
cha,Championship,England,2,winter,2023-2024,0,post,552,35,517,1480,1312,53,115,19
cha,Championship,England,2,winter,2024-2025,1,post,552,44,508,1353,1237,29,87,21
cha,Championship,England,2,winter,2025-2026,2,post,559,39,520,1441,1316,40,85,24
china,Super League,China,1,summer,2020,-3,pre,112,7,105,321,287,12,22,4
china,Super League,China,1,summer,2021,-2,pre,112,13,99,301,269,12,20,2
china,Super League,China,1,summer,2022,-1,pre,306,29,277,848,781,24,43,5
china,Super League,China,1,summer,2023,0,post,240,14,226,666,599,26,41,10
china,Super League,China,1,summer,2024,1,post,240,16,224,750,654,24,72,13
china,Super League,China,1,summer,2025,2,post,240,9,231,771,662,36,73,19
czech1,Chance Liga,Czech Republic,1,winter,2020-2021,-3,pre,306,27,279,822,763,18,41,6
czech1,Chance Liga,Czech Republic,1,winter,2021-2022,-2,pre,240,14,226,670,627,10,33,6
czech1,Chance Liga,Czech Republic,1,winter,2022-2023,-1,pre,240,10,230,720,662,22,36,8
czech1,Chance Liga,Czech Republic,1,winter,2023-2024,0,post,240,17,223,678,618,24,36,6
czech1,Chance Liga,Czech Republic,1,winter,2024-2025,1,post,240,22,218,627,568,21,38,7
czech1,Chance Liga,Czech Republic,1,winter,2025-2026,2,post,280,26,254,730,674,21,35,5
czech2,ChNL,Czech Republic,2,winter,2020-2021,-3,pre,182,12,170,473,457,2,14,2
czech2,ChNL,Czech Republic,2,winter,2021-2022,-2,pre,240,20,220,646,603,12,31,4
czech2,ChNL,Czech Republic,2,winter,2022-2023,-1,pre,240,13,227,666,623,12,31,6
czech2,ChNL,Czech Republic,2,winter,2023-2024,0,post,240,17,223,687,633,14,40,3
czech2,ChNL,Czech Republic,2,winter,2024-2025,1,post,240,23,217,605,565,9,31,7
czech2,ChNL,Czech Republic,2,winter,2025-2026,2,post,240,14,226,643,591,17,35,8
czech3a,3. CFL - Group A,Czech Republic,3,winter,2020-2021,-3,pre,59,5,54,197,194,0,3,0
czech3a,3. CFL - Group A,Czech Republic,3,winter,2022-2023,-1,pre,240,18,222,728,692,11,25,4
czech3a,3. CFL - Group A,Czech Republic,3,winter,2023-2024,0,post,240,13,227,782,740,14,28,3
czech3a,3. CFL - Group A,Czech Republic,3,winter,2024-2025,1,post,256,27,229,750,705,17,28,3
czech3a,3. CFL - Group A,Czech Republic,3,winter,2025-2026,2,post,272,17,255,869,818,13,38,3
czech3b,3. CFL - Group B,Czech Republic,3,winter,2020-2021,-3,pre,63,8,55,179,172,1,6,0
czech3b,3. CFL - Group B,Czech Republic,3,winter,2021-2022,-2,pre,240,12,228,732,699,6,27,6
czech3b,3. CFL - Group B,Czech Republic,3,winter,2022-2023,-1,pre,240,15,225,713,680,10,23,1
czech3b,3. CFL - Group B,Czech Republic,3,winter,2023-2024,0,post,240,14,226,720,686,7,27,4
czech3b,3. CFL - Group B,Czech Republic,3,winter,2024-2025,1,post,272,21,251,789,742,17,30,6
czech3b,3. CFL - Group B,Czech Republic,3,winter,2025-2026,2,post,272,7,265,912,857,14,41,7
denmark1,Superliga,Denmark,1,winter,2020-2021,-3,pre,132,10,122,359,325,9,25,4
denmark1,Superliga,Denmark,1,winter,2021-2022,-2,pre,132,8,124,354,328,6,20,7
denmark1,Superliga,Denmark,1,winter,2022-2023,-1,pre,132,10,122,359,319,9,31,8
denmark1,Superliga,Denmark,1,winter,2023-2024,0,post,132,8,124,356,318,15,23,7
denmark1,Superliga,Denmark,1,winter,2024-2025,1,post,132,6,126,406,370,10,26,7
denmark1,Superliga,Denmark,1,winter,2025-2026,2,post,193,12,181,595,538,14,43,8
denmark2,1st Division,Denmark,2,winter,2020-2021,-3,pre,132,7,125,358,342,2,14,3
denmark2,1st Division,Denmark,2,winter,2021-2022,-2,pre,132,5,127,395,364,6,25,1
denmark2,1st Division,Denmark,2,winter,2022-2023,-1,pre,132,8,124,395,364,6,25,2
denmark2,1st Division,Denmark,2,winter,2023-2024,0,post,132,8,124,399,356,9,34,5
denmark2,1st Division,Denmark,2,winter,2024-2025,1,post,132,9,123,374,341,9,24,4
denmark2,1st Division,Denmark,2,winter,2025-2026,2,post,192,12,180,538,500,8,30,6
egypt,Premier League,Egypt,1,winter,2020-2021,-3,pre,306,33,273,760,674,22,64,18
egypt,Premier League,Egypt,1,winter,2021-2022,-2,pre,306,42,264,673,604,22,47,12
egypt,Premier League,Egypt,1,winter,2022-2023,-1,pre,306,52,254,657,569,26,62,14
egypt,Premier League,Egypt,1,winter,2023-2024,0,post,306,34,272,728,620,41,67,16
egypt,Premier League,Egypt,1,winter,2024-2025,1,post,153,25,128,312,267,16,29,6
egypt,Premier League,Egypt,1,winter,2025-2026,2,post,322,51,271,651,558,30,63,21
eng1,League One,England,3,winter,2020-2021,-3,pre,552,38,514,1447,1337,30,80,23
eng1,League One,England,3,winter,2021-2022,-2,pre,552,37,515,1489,1364,37,88,25
eng1,League One,England,3,winter,2022-2023,-1,pre,552,41,511,1414,1292,42,80,17
eng1,League One,England,3,winter,2023-2024,0,post,552,39,513,1422,1259,50,113,27
eng1,League One,England,3,winter,2024-2025,1,post,552,46,506,1427,1306,26,95,19
eng1,League One,England,3,winter,2025-2026,2,post,557,33,524,1462,1323,33,106,28
